match_id,team1,team2,city,venue,season,team1_runs,team2_runs,winner
981019,Royal Challengers Bangalore,Sunrisers Hyderabad,Bengaluru,M Chinnaswamy Stadium,2016,208,200.0,Sunrisers Hyderabad
1082591,Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,Rajiv Gandhi International Stadium,2017,207,172.0,Sunrisers Hyderabad
1082593,Gujarat Titans,Kolkata Knight Riders,Rajkot,Saurashtra Cricket Association Stadium,2017,183,184.0,Kolkata Knight Riders
1082595,Royal Challengers Bangalore,Delhi Capitals,Bengaluru,M Chinnaswamy Stadium,2017,157,142.0,Royal Challengers Bangalore
1082596,Sunrisers Hyderabad,Gujarat Titans,Hyderabad,Rajiv Gandhi International Stadium,2017,135,140.0,Sunrisers Hyderabad
1082597,Mumbai Indians,Kolkata Knight Riders,Mumbai,Wankhede Stadium,2017,178,180.0,Mumbai Indians
1082598,Punjab Kings,Royal Challengers Bangalore,Indore,Holkar Cricket Stadium,2017,148,150.0,Kings XI Punjab
1082600,Mumbai Indians,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,2017,158,159.0,Mumbai Indians
1082601,Kolkata Knight Riders,Punjab Kings,Kolkata,Eden Gardens,2017,170,171.0,Kolkata Knight Riders
1082602,Royal Challengers Bangalore,Mumbai Indians,Bengaluru,M Chinnaswamy Stadium,2017,142,145.0,Mumbai Indians
1082604,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Eden Gardens,2017,172,155.0,Kolkata Knight Riders
1082605,Delhi Capitals,Punjab Kings,Delhi,Feroz Shah Kotla,2017,188,137.0,Delhi Daredevils
1082606,Mumbai Indians,Gujarat Titans,Mumbai,Wankhede Stadium,2017,176,177.0,Mumbai Indians
1082608,Delhi Capitals,Kolkata Knight Riders,Delhi,Feroz Shah Kotla,2017,168,169.0,Kolkata Knight Riders
1082609,Sunrisers Hyderabad,Punjab Kings,Hyderabad,Rajiv Gandhi International Stadium,2017,159,154.0,Sunrisers Hyderabad
1082610,Gujarat Titans,Royal Challengers Bangalore,Rajkot,Saurashtra Cricket Association Stadium,2017,213,192.0,Royal Challengers Bangalore
1082611,Sunrisers Hyderabad,Delhi Capitals,Hyderabad,Rajiv Gandhi International Stadium,2017,191,176.0,Sunrisers Hyderabad
1082612,Punjab Kings,Mumbai Indians,Indore,Holkar Cricket Stadium,2017,198,199.0,Mumbai Indians
1082613,Kolkata Knight Riders,Gujarat Titans,Kolkata,Eden Gardens,2017,187,188.0,Gujarat Lions
1082614,Mumbai Indians,Delhi Capitals,Mumbai,Wankhede Stadium,2017,142,128.0,Mumbai Indians
1082616,Gujarat Titans,Punjab Kings,Rajkot,Saurashtra Cricket Association Stadium,2017,188,162.0,Kings XI Punjab
1082617,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,2017,131,49.0,Kolkata Knight Riders
1082621,Royal Challengers Bangalore,Gujarat Titans,Bengaluru,M Chinnaswamy Stadium,2017,134,135.0,Gujarat Lions
1082622,Kolkata Knight Riders,Delhi Capitals,Kolkata,Eden Gardens,2017,160,161.0,Kolkata Knight Riders
1082623,Punjab Kings,Sunrisers Hyderabad,Mohali,Punjab Cricket Association IS Bindra Stadium,2017,207,181.0,Sunrisers Hyderabad
1082625,Gujarat Titans,Mumbai Indians,Rajkot,Saurashtra Cricket Association Stadium,2017,153,153.0,Mumbai Indians
1082626,Punjab Kings,Delhi Capitals,Mohali,Punjab Cricket Association IS Bindra Stadium,2017,67,68.0,Kings XI Punjab
1082627,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,Rajiv Gandhi International Stadium,2017,209,161.0,Sunrisers Hyderabad
1082628,Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,2017,162,165.0,Mumbai Indians
1082630,Delhi Capitals,Sunrisers Hyderabad,Delhi,Feroz Shah Kotla,2017,185,189.0,Delhi Daredevils
1082632,Delhi Capitals,Gujarat Titans,Delhi,Feroz Shah Kotla,2017,208,214.0,Delhi Daredevils
1082633,Royal Challengers Bangalore,Punjab Kings,Bengaluru,M Chinnaswamy Stadium,2017,138,119.0,Kings XI Punjab
1082635,Delhi Capitals,Mumbai Indians,Delhi,Feroz Shah Kotla,2017,212,66.0,Mumbai Indians
1082636,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,M Chinnaswamy Stadium,2017,158,159.0,Kolkata Knight Riders
1082637,Punjab Kings,Gujarat Titans,Mohali,Punjab Cricket Association IS Bindra Stadium,2017,189,192.0,Gujarat Lions
1082638,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,Rajiv Gandhi International Stadium,2017,138,140.0,Sunrisers Hyderabad
1082639,Punjab Kings,Kolkata Knight Riders,Mohali,Punjab Cricket Association IS Bindra Stadium,2017,167,153.0,Kings XI Punjab
