match_id,team1,team2,city,venue,season,team1_runs,team2_runs,winner
335982,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,M Chinnaswamy Stadium,2008,222,82,Kolkata Knight Riders
335983,Punjab Kings,Chennai Super Kings,Mohali,Punjab Cricket Association IS Bindra Stadium,2008,240,207,Chennai Super Kings
335984,Delhi Capitals,Rajasthan Royals,Delhi,Feroz Shah Kotla,2008,129,132,Delhi Daredevils
335985,Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,2008,165,166,Royal Challengers Bangalore
335986,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Eden Gardens,2008,110,112,Kolkata Knight Riders
335987,Rajasthan Royals,Punjab Kings,Jaipur,Sawai Mansingh Stadium,2008,166,168,Rajasthan Royals
335988,Sunrisers Hyderabad,Delhi Capitals,Hyderabad,Rajiv Gandhi International Stadium,2008,142,143,Delhi Daredevils
335989,Chennai Super Kings,Mumbai Indians,Chennai,MA Chidambaram Stadium,2008,208,202,Chennai Super Kings
335990,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,Rajiv Gandhi International Stadium,2008,214,217,Rajasthan Royals
335991,Punjab Kings,Mumbai Indians,Mohali,Punjab Cricket Association IS Bindra Stadium,2008,182,116,Kings XI Punjab
335992,Royal Challengers Bangalore,Rajasthan Royals,Bengaluru,M Chinnaswamy Stadium,2008,135,138,Rajasthan Royals
335993,Chennai Super Kings,Kolkata Knight Riders,Chennai,MA Chidambaram Stadium,2008,147,152,Chennai Super Kings
335994,Mumbai Indians,Sunrisers Hyderabad,Mumbai,Dr DY Patil Sports Academy,2008,154,155,Deccan Chargers
335995,Punjab Kings,Delhi Capitals,Mohali,Punjab Cricket Association IS Bindra Stadium,2008,158,162,Kings XI Punjab
335996,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,M Chinnaswamy Stadium,2008,178,165,Chennai Super Kings
335997,Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,2008,137,138,Mumbai Indians
335998,Delhi Capitals,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,2008,191,181,Delhi Daredevils
335999,Sunrisers Hyderabad,Punjab Kings,Hyderabad,Rajiv Gandhi International Stadium,2008,164,167,Kings XI Punjab
336000,Rajasthan Royals,Kolkata Knight Riders,Jaipur,Sawai Mansingh Stadium,2008,196,151,Rajasthan Royals
336001,Chennai Super Kings,Delhi Capitals,Chennai,MA Chidambaram Stadium,2008,169,172,Delhi Daredevils
336003,Punjab Kings,Kolkata Knight Riders,Mohali,Punjab Cricket Association IS Bindra Stadium,2008,178,169,Kings XI Punjab
336034,Royal Challengers Bangalore,Sunrisers Hyderabad,Bengaluru,M Chinnaswamy Stadium,2008,156,153,Royal Challengers Bangalore
336004,Mumbai Indians,Delhi Capitals,Mumbai,Dr DY Patil Sports Academy,2008,162,133,Mumbai Indians
336005,Rajasthan Royals,Chennai Super Kings,Jaipur,Sawai Mansingh Stadium,2008,109,110,Rajasthan Royals
336006,Royal Challengers Bangalore,Punjab Kings,Bengaluru,M Chinnaswamy Stadium,2008,126,127,Kings XI Punjab
336007,Chennai Super Kings,Sunrisers Hyderabad,Chennai,MA Chidambaram Stadium,2008,144,148,Deccan Chargers
336008,Mumbai Indians,Rajasthan Royals,Mumbai,Dr DY Patil Sports Academy,2008,103,104,Mumbai Indians
336009,Delhi Capitals,Chennai Super Kings,Delhi,Feroz Shah Kotla,2008,187,188,Chennai Super Kings
336010,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,2008,129,124,Kolkata Knight Riders
336011,Rajasthan Royals,Sunrisers Hyderabad,Jaipur,Sawai Mansingh Stadium,2008,140,141,Rajasthan Royals
336013,Chennai Super Kings,Punjab Kings,Chennai,MA Chidambaram Stadium,2008,181,163,Chennai Super Kings
336014,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,Rajiv Gandhi International Stadium,2008,204,181,Kolkata Knight Riders
